구분,대여소명,반납일자,반납건수,,,,
강서구,2701. 마곡나루역 5번출구 뒤편,201901,905,,,,
강서구,2702. 마곡 엠밸리2단지,201901,93,,,,
관악구,2102. 봉림교 교통섬,201901,1463,,,,
관악구,2103. 신림동 우방아파트,201901,406,,,,
관악구,2104. 사당역 5번출구,201901,397,,,,
관악구,2105. 미성동 신림체육센터,201901,283,,,,
관악구,2106. 난곡 새마을금고,201901,464,,,,
관악구,2107. 도림천 신화교,201901,831,,,,
관악구,2108. 은천치안센터,201901,340,,,,
관악구,2109. 은천로입구 가로공원,201901,474,,,,
관악구,2110. 조원동 미성아파트,201901,269,,,,
관악구,2111. 서울대입구역 1번출구,201901,281,,,,
관악구,2112. 서울대입구역 마에스트로,201901,259,,,,
관악구,2113. 관악동작견인차량보관소,201901,283,,,,
관악구,2115. 관악농협농산물백화점,201901,313,,,,
관악구,2116. 에이스에이존빌딩,201901,173,,,,
관악구,2119. 중앙동 동진빌딩,201901,338,,,,
관악구,2122. 낙성대로 입구,201901,326,,,,
관악구,2127. 보성운수차고지 맞은편,201901,92,,,,
관악구,2128. 관악구청교차로,201901,176,,,,
관악구,2129. 낙성대 과학전시관,201901,128,,,,
관악구,2130. 영어마을 관악캠프,201901,50,,,,
관악구,2135. 신림역 5번출구,201901,349,,,,
관악구,2136. 신림역 8번출구,201901,703,,,,
관악구,2137. KT&G 관악지점,201901,212,,,,
관악구,2139. 서울신성초등학교,201901,758,,,,
관악구,2140. 신림1교 교차로,201901,665,,,,
관악구,2141. 미림여고입구 교차로,201901,125,,,,
관악구,2143. 서울산업정보학교,201901,206,,,,
관악구,2144. 난우길입구,201901,183,,,,
관악구,2145. 은천초등학교 육교,201901,167,,,,
관악구,2148. 낙성대역 3번출구 뒤,201901,336,,,,
관악구,2153. 서울남부초등학교 옆,201901,268,,,,
관악구,2156. 농협 관악문성지점,201901,257,,,,
관악구,2157. 난곡 사거리,201901,323,,,,
관악구,2159. 인헌초교,201901,164,,,,
관악구,2160. 관악구 보건소,201901,159,,,,
관악구,2164. 관악우체국,201901,209,,,,
관악구,2165. JK장평타워,201901,102,,,,
관악구,2167. 낙성대역 1번출구,201901,111,,,,
관악구,2169. 봉천역 2번출구,201901,449,,,,
관악구,2170. 조원동서울본병원,201901,146,,,,
관악구,2171. 서울대입구역 5번출구,201901,364,,,,
관악구,2172. 나들목공원,201901,228,,,,
관악구,2173. 당곡사거리,201901,991,,,,
관악구,2174. 삼성디지털프라자관악점,201901,318,,,,
관악구,2175. 신림동걷고싶은문화의거리입구,201901,116,,,,
관악구,2176. 보라매공원 보도육교,201901,341,,,,
관악구,2177. 신대방역 2번 출구,201901,973,,,,
