기준연월,구,사고건수,사망자수,부상자수
2018년 1월,구로구,2,0,2
2018년 2월,구로구,4,0,4
2018년 3월,구로구,6,0,7
2018년 4월,구로구,1,0,1
2018년 5월,구로구,5,0,5
2018년 6월,구로구,7,0,10
2018년 7월,구로구,6,0,7
2018년 8월,구로구,4,0,4
2018년 9월,구로구,5,0,5
2018년 10월,구로구,7,0,7
2018년 11월,구로구,3,0,4
2018년 12월,구로구,3,0,3
2019년 1월,구로구,2,0,2
2019년 2월,구로구,2,0,2
2019년 3월,구로구,7,0,7
2019년 4월,구로구,10,0,10
2019년 5월,구로구,8,0,9
2019년 6월,구로구,9,0,10
2019년 7월,구로구,4,0,5
2019년 8월,구로구,5,0,6
2019년 9월,구로구,4,0,5
2019년 10월,구로구,8,0,10
2019년 11월,구로구,9,0,9
2019년 12월,구로구,3,0,3
2020년 1월,구로구,5,0,7
2020년 2월,구로구,5,0,5
2020년 3월,구로구,4,0,4
2020년 4월,구로구,2,0,2
2020년 5월,구로구,6,0,8
2020년 6월,구로구,7,0,8
2020년 7월,구로구,9,0,10
2020년 8월,구로구,4,0,4
2020년 9월,구로구,5,0,5
2020년 10월,구로구,5,0,6
2020년 11월,구로구,5,0,5
2020년 12월,구로구,1,0,1
2016년 1월,영등포구,7,0,8
2016년 2월,영등포구,5,0,5
2016년 3월,영등포구,15,0,17
2016년 4월,영등포구,15,0,16
2016년 5월,영등포구,20,1,21
2016년 6월,영등포구,19,0,23
2016년 7월,영등포구,21,0,23
2016년 8월,영등포구,26,0,30
2016년 9월,영등포구,34,0,39
2016년 10월,영등포구,13,0,13
2016년 11월,영등포구,14,0,17
2016년 12월,영등포구,4,0,4
2017년 1월,영등포구,4,0,4
2017년 2월,영등포구,6,0,6
2017년 3월,영등포구,11,0,12
2017년 4월,영등포구,11,0,11
2017년 5월,영등포구,23,0,27
2017년 6월,영등포구,12,0,12
2017년 7월,영등포구,8,0,8
2017년 8월,영등포구,26,0,29
2017년 9월,영등포구,17,1,19
2017년 10월,영등포구,17,0,20
2017년 11월,영등포구,9,0,9
2017년 12월,영등포구,6,0,6
2018년 1월,영등포구,7,0,7
2018년 2월,영등포구,5,1,4
2018년 3월,영등포구,10,0,10
2018년 4월,영등포구,18,0,20
2018년 5월,영등포구,13,0,16
2018년 6월,영등포구,15,1,15
2018년 7월,영등포구,24,0,28
2018년 8월,영등포구,11,1,11
2018년 9월,영등포구,26,0,28
2018년 10월,영등포구,18,1,18
2018년 11월,영등포구,11,0,12
2018년 12월,영등포구,3,0,3
2019년 1월,영등포구,9,0,11
2019년 2월,영등포구,6,0,7
2019년 3월,영등포구,16,0,16
2019년 4월,영등포구,23,0,30
2019년 5월,영등포구,21,0,23
2019년 6월,영등포구,22,0,24
2019년 7월,영등포구,15,0,20
2019년 8월,영등포구,17,0,20
2019년 9월,영등포구,16,0,18
2019년 10월,영등포구,25,0,29
2019년 11월,영등포구,10,0,11
2019년 12월,영등포구,9,0,10
2020년 1월,영등포구,9,0,10
2020년 2월,영등포구,12,0,13
2020년 3월,영등포구,17,0,20
2020년 4월,영등포구,23,0,27
2020년 5월,영등포구,28,0,34
2020년 6월,영등포구,15,0,18
2020년 7월,영등포구,19,0,20
2020년 8월,영등포구,27,1,28
2020년 9월,영등포구,30,0,35
2020년 10월,영등포구,14,0,15
2020년 11월,영등포구,12,0,14
2020년 12월,영등포구,4,0,4
2016년 1월,동작구,5,0,5
2016년 2월,동작구,0,0,0
2016년 3월,동작구,4,0,4
2016년 4월,동작구,4,0,5
2016년 5월,동작구,10,0,10
2016년 6월,동작구,8,1,9
2016년 7월,동작구,10,0,16
2016년 8월,동작구,5,0,5
2016년 9월,동작구,9,1,10
2016년 10월,동작구,7,0,8
2016년 11월,동작구,4,0,8
2016년 12월,동작구,1,0,1
2017년 1월,동작구,2,0,3
2017년 2월,동작구,2,0,2
2017년 3월,동작구,6,0,7
2017년 4월,동작구,8,0,10
2017년 5월,동작구,5,0,7
2017년 6월,동작구,2,0,2
2017년 7월,동작구,5,0,6
